Cap_01C_exp,V_cell_01C_exp,V_cell_01C_int,Cap_05C_exp,V_cell_05C_exp,V_cell_05C_int,Cap_1C_exp,V_cell_1C_exp,V_cell_1C_int
11.11016225,2.382703404,2.3373440053374224,0.08469331199999999,2.315332747,2.210627513397845,25.93569823,2.298181265,2.1503026121449267
48.37208947,2.363422799,2.3397233097159504,23.44701782,2.315356635,2.209197939343629,75.01873025,2.2871885080000003,2.1530826045008125
93.65732034,2.3519639,2.342172067102243,51.05703769,2.315384866,2.2108896821975574,109.28694750000001,2.273726614,2.1544786578191393
137.6801369,2.342105837,2.3442491703917208,93.7164077,2.3068395280000003,2.2130836822076416,148.0373954,2.249226359,2.1554961553169347
184.17069019999997,2.331734175,2.3462194407256938,127.828268,2.300739438,2.214515539351079,182.5922668,2.222267826,2.1555433320675492
229.1301171,2.3141937919999997,2.3468803100723075,164.19427340000001,2.288506683,2.2156747140339803,219.2188671,2.1977653999999998,2.1528200014178154
260.8488093,2.288139402,2.308643305578293,200.71663569999998,2.268912125,2.216011068325062,236.7308381,2.173243428,2.1478046055975315
281.89133139999996,2.261351286,2.3043930443298506,230.91957390000002,2.2468571180000003,2.2126178627976256,252.17108050000002,2.146265351,2.137715165266872
298.9104026,2.231207852,2.3005769926736983,254.8291475,2.221114694,2.1847808602039134,271.93719669999996,2.115610715,2.123104209179705
315.872953,2.203725611,2.296262203305229,276.66699239999997,2.192916164,2.178193648758775,287.45561739999994,2.084951736,2.118839003081326
334.88532799999996,2.176127187,2.2906073105796962,305.0848562,2.1549084119999997,2.171674284363385,302.76556239999996,2.064108494,2.1152066990900407
353.85499839999994,2.150539443,2.283751720276837,326.92270110000004,2.1267098819999997,2.165600365006013,316.134076,2.034674311,2.111674335711819
372.84225299999997,2.124123772,2.2749633321643388,344.5389101,2.097280042,2.1596249052615155,333.5418092,2.015060208,2.1063773115847364
398.98436860000004,2.085075822,2.2560700066824366,362.0508811,2.07275807,2.1521625001717104,375.7842275,2.026146346,2.0872077447923485
450.90823610000007,2.111580128,2.120403382932211,381.8430568,2.040876467,2.1403913195545954,422.4306981000001,2.0298750230000002,1.9274383289145607
495.22094860000004,2.118368808,2.120117127516776,402.6645819,2.060529659,2.117770662865689,469.2335255,2.026241897,1.9238738483424274
538.7599853999999,2.120271977,2.1160691379503684,440.6853643,2.070384486,1.9833124209306083,507.5930812,2.02014615,1.9206887536064097
585.8025025000001,2.122470583,2.111691357678266,519.1374312,2.076599672,1.981680049074129,541.78312,2.010365158,1.9177568886631076
628.7789402000001,2.123320966,2.1082548325194463,584.9506499,2.07789396,1.978961180601824,576.1034561,1.994449331,1.9143289641182881
675.8659888999999,2.123422875,2.104823662757908,646.5161732,2.079183904,1.9738637837114996,610.5280302,1.973625634,1.9098607227761804
720.9205688,2.122823791,2.101637596252854,706.0620867,2.075563808,1.967141343069246,640.7830874,1.9491166919999998,1.9046839159956372
765.9614466,2.122869845,2.098414925143639,761.3603049,2.0719393680000002,1.960021266664494,675.4421967999999,1.91725029,1.896836899177178
809.7990573,2.121731891,2.0951699093864784,810.339099,2.06585448,1.9530229850741787,703.7037037,1.886604341,1.8883103810543405
853.0224742,2.120593309,2.0918185748493197,857.2722239,2.056086517,1.9454176372675838,725.671846,1.852270975,1.8795651028488696
899.0870083999998,2.12064041,2.0880374044105516,893.6382292999999,2.043853763,1.938583844266628,749.9201927999999,1.8105779780000002,1.8657457048690507
983.0959073999999,2.1174736690000002,2.0804270119670774,934.4864653999999,2.020582647,1.9293175847680373,,,
1028.1681859999999,2.116041283,2.075859789699218,960.4938271999999,1.9960693619999998,1.9219930161264025,,,
1073.2090640000001,2.1160873369999997,2.0708629561906213,975.90801,1.970318251,1.9168189836502059,,,
1118.277346,2.114843116,2.06532712444781,989.3286426000001,1.9384301330000002,1.9115686681717656,,,
1168.0565179999999,2.11212908,2.0584154640351264,1002.801394,1.904088081,1.9052838565981713,,,
1220.791416,2.107958794,2.0498617004661144,1016.195967,1.87342693,1.8974690535591658,,,
1277.315108,2.102891219,2.038616423953881,1023.140819,1.846440166,1.892454099276025,,,
1323.431088,2.0951607119999998,2.026872523377164,1030.268087,1.810864632,1.886228728850284,,,
1356.532011,2.079001253,2.015987772111751,,,,,,
1371.435945,2.052049157,2.0099903424967334,,,,,,
1378.728955,1.9978591030000001,2.006697684437817,,,,,,
1379.3262630000002,1.969735885,2.0064155409612097,,,,,,
1381.366039,1.9379606719999998,2.005436530004803,,,,,,
1384.719971,1.9085748869999999,2.0037716117000666,,,,,,
1391.141224,1.863297957,2.0003690553809634,,,,,,
1398.744332,1.8266396169999999,1.9959002751425257,,,,,,
1403.2157630000002,1.808902521,1.9929957584922846,,,,,,
